uuid,date,time,IP,6,7,8,location,log_class,type,radio,vap,client_mac,client_ip,client_ip6,identity,aid
0d5038c7-ee68-414a-87f3-7a3a742973fc,7/13/2023,15:23:41,172.17.10.34,16,6,1689261821,Boulder,events,8021x_eap_success,'1','4','e4:fd:45:9e:e0:2b','0.0.0.0',,mmcnamara,'490689673'
452c51cb-a2fc-47eb-b380-21a2ab8d766f,7/13/2023,15:28:12,172.17.10.41,16,6,1689262093,Boulder,events,8021x_eap_success,'1','4','a2:59:08:e1:bf:b8','0.0.0.0',,freuland,'790225233'
cf32b637-8b82-45f2-8d37-a4a03ca56a80,7/13/2023,15:32:20,172.17.30.38,16,6,1689262341,Basalt,events,8021x_eap_success,'1','0','7a:da:8a:5b:6b:21','0.0.0.0',,mabramczyk,'1650685336'
d99c6519-396a-4a85-9e26-8ee0a1a131a5,7/13/2023,15:41:20,172.17.10.40,16,6,1689262881,Boulder,events,8021x_eap_success,'1','4','3c:a6:f6:4a:04:f9','0.0.0.0',,krebane,'2143285437'
b0526682-f4be-4e2f-9f93-8415f2e62473,7/13/2023,15:51:03,172.17.30.30,16,6,1689263464,Basalt,events,8021x_eap_success,'1','0','3c:22:fb:12:4c:f5','0.0.0.0',,hmaglione,'534487546'
33795a33-e8a2-4d91-9407-e2f9984b1fc9,7/13/2023,15:58:58,172.17.10.38,16,6,1689263938,Boulder,events,8021x_eap_success,'1','4','58:6c:25:4a:58:e9',,,ggreen,'2085837014'
5c735a0a-23d1-4be9-ad1d-e4c535e98e0d,7/13/2023,16:08:57,172.17.30.37,16,6,1689264538,Basalt,events,8021x_eap_success,'1','0','3c:21:9c:cb:3d:10','0.0.0.0',,mbarlow,'1065130192'
a7c1d200-0782-40ce-8f6a-ccb313f3184b,7/13/2023,16:13:39,172.17.10.37,16,6,1689264820,Boulder,events,8021x_eap_success,'1','4','2a:22:aa:4f:f1:62','0.0.0.0',,drew.beyer,'1175213541'
42eaf4cb-bbfe-4614-9323-77d676503305,7/13/2023,16:16:28,172.17.10.38,16,6,1689264989,Boulder,events,8021x_eap_success,'1','4','70:32:17:4b:6e:23',,,suzanne.schadel,'1768713877'
44893b79-1219-45ad-9481-6d8328c47fcc,7/13/2023,16:19:11,172.17.10.40,16,6,1689265151,Boulder,events,8021x_eap_success,'1','4','bc:d0:74:17:23:e2','0.0.0.0',,aengel,'1234581015'
33a49172-7882-4aa3-ac9c-293db25d0a35,7/13/2023,16:28:44,172.17.10.37,16,6,1689265724,Boulder,events,8021x_eap_success,'1','4','1c:91:80:be:1d:06','0.0.0.0',,agomez,'452493708'
c630545e-970a-4ae2-9ad6-6fb981c4ce32,7/13/2023,16:36:31,172.17.30.40,16,6,1689266192,Basalt,events,8021x_eap_success,'1','0','a0:78:17:a6:19:3c','0.0.0.0',,cstranger,'74167097'
22da92f8-3fe1-459d-a96a-06b20e148689,7/13/2023,16:38:17,172.17.10.33,16,6,1689266298,Boulder,events,8021x_eap_success,'1','4','3c:a6:f6:3e:e5:5f','0.0.0.0',,kramirez,'939186058'
49a8500d-285d-4060-85c4-31280c5cef02,7/13/2023,16:38:57,172.17.30.30,16,6,1689266338,Basalt,events,8021x_eap_success,'1','0','9c:3e:53:7d:32:f9','0.0.0.0',,dmullaney,'1389603126'
b088eb0d-9097-44c8-a9d9-f9a58a8b61ee,7/13/2023,16:42:20,172.17.10.35,16,6,1689266541,Boulder,events,8021x_eap_success,'1','4','1c:c1:0c:55:93:a8','0.0.0.0',,rshea,'1114196346'
f0fa7031-59a7-459e-ae26-72463fab4cb4,7/13/2023,16:46:48,172.17.10.35,16,6,1689266808,Boulder,events,8021x_eap_success,'1','4','a8:8f:d9:48:09:a5','0.0.0.0',,dangel,'435367127'
dcb30dbf-0ba7-468f-8742-9478a7b51045,7/13/2023,16:53:48,172.17.10.31,16,6,1689267229,Boulder,events,8021x_eap_success,'1','4','6e:31:30:b3:22:07','0.0.0.0',,bseals,'1917674653'
8a1d2b09-a22e-4b3e-a66d-5a122d67fa57,7/13/2023,17:26:46,172.17.30.40,16,6,1689269206,Basalt,events,8021x_eap_success,'1','0','38:87:d5:0c:63:cc','0.0.0.0',,rlaemel,'2004587849'
476eb652-5f25-447c-a113-f4be7edf795c,7/13/2023,17:31:12,172.17.10.32,16,6,1689269473,Boulder,events,8021x_eap_success,'1','4','3c:06:30:40:d2:34','0.0.0.0',,oprieto,'1787185019'
2e574ca4-5d81-403c-bb30-026508dd8776,7/13/2023,17:58:41,172.17.10.31,16,6,1689271122,Boulder,events,8021x_eap_success,'1','4','90:cc:df:00:7d:55','0.0.0.0',,tholland,'1861851538'
ddd5fa9e-dd11-413d-b733-c47bd98c5a75,7/13/2023,18:33:31,172.17.10.33,16,6,1689273211,Boulder,events,8021x_eap_success,'1','4','b0:be:83:05:0f:2c','0.0.0.0',,tsheehan,'199999542'
b80cc008-0293-4738-9dd9-fe9d4b583104,7/13/2023,18:49:21,172.17.10.31,16,6,1689274162,Boulder,events,8021x_eap_success,'1','4','0c:9a:3c:92:1d:4b','0.0.0.0',,mgartman,'1681096688'
ab533b99-40a5-4945-b98e-e48e990caec6,7/13/2023,18:58:27,172.17.10.35,16,6,1689274708,Boulder,events,8021x_eap_success,'1','4','ac:c9:06:2a:36:f1','0.0.0.0',,kclizardo,'1456614964'
146ad202-fd97-467a-9c31-b8d801c216b1,7/13/2023,19:16:00,172.17.30.34,16,6,1689275760,Basalt,events,8021x_eap_success,'1','0','14:7d:da:d1:12:61','0.0.0.0',,genlillis,'1768912508'
04acfc25-b174-4d61-a71e-c0852bb88070,7/13/2023,19:32:23,172.17.10.38,16,6,1689276743,Boulder,events,8021x_eap_success,'1','4','1c:99:57:d8:6d:37',,,dbreight,'1884354767'
7c3f2031-e330-4cd8-9ed8-c64dd9db7ed0,7/13/2023,20:00:45,172.17.10.34,16,6,1689278445,Boulder,events,8021x_eap_success,'1','4','70:32:17:4b:a4:42','0.0.0.0',,mike.huffman,'1084229628'
99718c09-ee49-4efc-9c83-774a21ac9e17,7/13/2023,20:35:13,172.17.10.31,16,6,1689280513,Boulder,events,8021x_eap_success,'1','4','4e:26:7e:ec:e9:74','0.0.0.0',,nlabutong,'420346989'
de985b57-149f-4595-bb0e-bbc15554c67c,7/13/2023,20:54:57,172.17.10.36,16,6,1689281697,Boulder,events,8021x_eap_success,'1','4','38:87:d5:0c:64:d0','0.0.0.0',,njenson,'238119562'
0216079c-f489-4d8b-ba5a-072843a5d100,7/13/2023,22:37:37,172.17.10.40,16,6,1689287858,Boulder,events,8021x_eap_success,'1','4','80:65:7c:dd:90:69','0.0.0.0',,jsward,'1769676857'
ffbdaae8-fba7-4694-89a8-e038d0e24ebd,7/14/2023,0:01:38,172.17.30.41,16,6,1689292899,Basalt,events,8021x_eap_success,'1','0','ea:ff:aa:46:d1:79','172.16.30.97',,jamie.holmstrom,'869758114'
8d61e1ab-77f1-443b-a34d-ee872e3283b9,7/14/2023,0:02:04,172.17.10.40,16,6,1689292924,Boulder,events,8021x_eap_success,'1','4','1c:c1:0c:55:93:a8','0.0.0.0',,rshea,'153294867'
c36d2e7b-4cf8-45d3-9979-729de49a446c,7/14/2023,0:11:07,172.17.30.38,16,6,1689293468,Basalt,events,8021x_eap_success,'1','0','7a:da:8a:5b:6b:21','172.16.30.189',,mabramczyk,'1058252687'
00b44f8c-14fb-4fa6-8ff9-3d3eb12e4aee,7/14/2023,0:14:08,172.17.30.31,16,6,1689293648,Basalt,events,8021x_eap_success,'1','0','38:87:d5:0c:63:cc','0.0.0.0',,rlaemel,'87692005'
afcaf814-0809-4519-bb5d-b258096b975c,7/14/2023,2:35:21,172.17.30.31,16,6,1689302121,Basalt,events,8021x_eap_success,'1','0','14:7d:da:d1:12:61','172.16.30.194',,genlillis,'1768908382'
feb59389-7d3f-44c1-a096-c55e8df24377,7/14/2023,10:58:40,172.17.10.38,16,6,1689332320,Boulder,events,8021x_eap_success,'1','4','58:6c:25:4a:58:e9',,,ggreen,'309088085'
4f58d321-f31e-4d5e-9d8f-e5ba3364fdcb,7/14/2023,13:15:45,172.17.30.33,16,6,1689340545,Basalt,events,8021x_eap_success,'1','0','fc:e2:6c:0c:7d:11','0.0.0.0',,eyoung,'474980198'
47c9ee1f-02db-406c-aee5-31fc494683c6,7/14/2023,13:17:21,172.17.10.39,16,6,1689340642,Boulder,events,8021x_eap_success,'1','4','1c:c1:0c:57:55:2b',,,michael.willems,'765798236'
4f55d750-bab5-4000-8e8c-ee888d69843b,7/14/2023,13:20:14,172.17.10.41,16,6,1689340814,Boulder,events,8021x_eap_success,'1','4','1c:57:dc:6c:82:21','0.0.0.0',,cwayner,'150284068'
6b96fe95-28e4-42bb-91c5-831e5a4043f1,7/14/2023,13:43:27,172.17.10.38,16,6,1689342208,Boulder,events,8021x_eap_success,'1','4','f8:4d:89:6a:a8:ef',,,atecza,'956629301'
4c0c0d4d-4803-42bc-aa93-27af52443a5b,7/14/2023,14:06:27,172.17.10.40,16,6,1689343588,Boulder,events,8021x_eap_success,'1','4','70:32:17:4b:a4:42','0.0.0.0',,mike.huffman,'1930840397'
59539742-8daa-4143-94d6-59012a69c37e,7/14/2023,14:27:58,172.17.10.39,16,6,1689344879,Boulder,events,8021x_eap_success,'1','4','8c:f8:c5:9d:01:70',,,cnading,'696650268'
15986b1a-5054-40a2-93c9-39b8e857bda3,7/14/2023,14:39:51,172.17.30.38,16,6,1689345592,Basalt,events,8021x_eap_success,'1','0','b2:79:59:53:67:2f','0.0.0.0',,gwohl,'1528045652'
bee21785-92c8-4b93-b6f9-5ecb69b17a94,7/14/2023,14:45:24,172.17.10.37,16,6,1689345924,Boulder,events,8021x_eap_success,'1','4','1e:26:b1:08:24:96','0.0.0.0',,tlutz,'358974370'
432b8b9e-c90d-4bb5-ae3d-f0e6fbe6f27f,7/14/2023,14:45:34,172.17.10.39,16,6,1689345934,Boulder,events,8021x_eap_success,'1','4','3c:06:30:42:22:50',,,bbendix,'700434112'
910235cb-f0f0-48b1-8cbc-da05b0d6a633,7/14/2023,14:47:45,172.17.10.35,16,6,1689346065,Boulder,events,8021x_eap_success,'1','4','9c:29:76:5e:ce:b4','0.0.0.0',,skooijmans,'891088887'
7c0ae5e7-6eba-4320-b48c-11bc316756b3,7/14/2023,14:54:25,172.17.10.40,16,6,1689346465,Boulder,events,8021x_eap_success,'1','4','38:f9:d3:47:40:87','0.0.0.0',,freuland,'2027606972'
71cc771f-2b54-48f2-ac1a-fc64cf919a6c,7/14/2023,14:55:14,172.17.10.36,16,6,1689346514,Boulder,events,8021x_eap_success,'1','4','02:be:3f:a5:8b:c7','0.0.0.0',,wjaglomkurtz,'1067242535'
ca259878-00c7-4965-a369-75afdf4b75ad,7/14/2023,14:55:42,172.17.10.34,16,6,1689346542,Boulder,events,8021x_eap_success,'1','4','00:d4:9e:34:5b:75','0.0.0.0',,alex.walmsley,'1934580993'
d4d9d8db-9a0c-4808-b16d-b25cb6f4f486,7/14/2023,15:07:54,172.17.30.40,16,6,1689347274,Basalt,events,8021x_eap_success,'1','0','1c:91:80:ba:41:52','0.0.0.0',,lstone,'638220843'
0beacc24-f62d-4cd9-b3d3-24104787beee,7/14/2023,15:10:43,172.17.10.40,16,6,1689347444,Boulder,events,8021x_eap_success,'1','4','80:65:7c:df:d3:f5','0.0.0.0',,kstephan,'1250143865'
0c1b39cf-0491-49d5-9f2f-1105ad6f9494,7/14/2023,15:13:06,172.17.10.39,16,6,1689347587,Boulder,events,8021x_eap_success,'1','4','80:65:7c:dd:ab:02',,,jcorvidae,'553719520'
82804077-f997-485c-9224-08a5178f789e,7/14/2023,15:24:00,172.17.10.31,16,6,1689348240,Boulder,events,8021x_eap_success,'1','4','a0:29:42:ae:6a:af','0.0.0.0',,belle.ucherkemur,'2052374151'
a122b520-272b-47f9-bbf2-c1637a7afb1e,7/14/2023,15:29:22,172.17.10.30,16,6,1689348563,Boulder,events,8021x_eap_success,'1','4','a8:8f:d9:48:09:a5','0.0.0.0',,dangel,'380716540'
f4dee8ec-d8eb-4c5f-a64a-2d83c596a2a2,7/14/2023,16:01:08,172.17.10.38,16,6,1689350469,Boulder,events,8021x_eap_success,'1','4','1c:99:57:d8:6d:37',,,dbreight,'1108322024'
7ba7daa9-174e-4801-b747-dd62ad6b1f6e,7/14/2023,16:04:47,172.17.10.36,16,6,1689350687,Boulder,events,8021x_eap_success,'1','4','58:6c:25:5b:1a:e4','0.0.0.0',,watkinson,'113035502'
876044d6-b95b-4e63-9bcd-591d3bd4f0d3,7/14/2023,16:05:43,172.17.10.31,16,6,1689350743,Boulder,events,8021x_eap_success,'1','4','80:65:7c:e0:28:63','0.0.0.0',,steelucksingh,'1421410949'
0f9b7e0a-f190-48b7-8abd-c0c187cf12f5,7/14/2023,16:19:25,172.17.10.35,16,6,1689351566,Boulder,events,8021x_eap_success,'1','4','ba:8b:3c:d0:73:b2','0.0.0.0',,aschwartz,'1234952405'
951b378c-7163-4508-8d49-850d9c74fadc,7/14/2023,16:26:43,172.17.30.40,16,6,1689352003,Basalt,events,8021x_eap_success,'1','0','9c:3e:53:85:12:a5','0.0.0.0',,matthew.wilde,'719644230'
b21c85c2-1b46-42ff-ba42-66b355f751bb,7/14/2023,16:52:53,172.17.10.40,16,6,1689353574,Boulder,events,8021x_eap_success,'1','4','3c:22:fb:16:1f:dd','0.0.0.0',,dhussin,'980293292'
df77d2b3-a1d1-4271-85dd-9a9623960338,7/14/2023,17:23:55,172.17.10.40,16,6,1689355436,Boulder,events,8021x_eap_success,'1','4','14:7d:da:0b:bb:33','0.0.0.0',,hhouse,'1231942729'
5c51cf14-237a-4e69-8ff6-6648c4253d99,7/14/2023,18:07:36,172.17.10.30,16,6,1689358056,Boulder,events,8021x_eap_success,'1','4','1c:91:80:be:1d:06','0.0.0.0',,agomez,'1472584228'
e9e5297c-b4cc-4507-ae7e-110ff875bec0,7/14/2023,18:28:41,172.17.30.37,16,6,1689359321,Basalt,events,8021x_eap_success,'1','0','3c:21:9c:cb:3d:10','0.0.0.0',,mbarlow,'589605467'
d5afd623-16d2-41a4-bdaa-b129e742ebc1,7/14/2023,18:30:16,172.17.30.33,16,6,1689359417,Basalt,events,8021x_eap_success,'1','0','a8:7e:ea:64:ef:1a','0.0.0.0',,hmaglione,'509644480'
be3939c7-a046-46f6-864b-ba3a8715fddb,7/14/2023,18:34:29,172.17.30.32,16,6,1689359669,Basalt,events,8021x_eap_success,'1','0','9c:3e:53:7d:32:f9','0.0.0.0',,dmullaney,'389144686'
eda73a34-5103-4f94-8aa7-a5ee712a0370,7/14/2023,19:28:54,172.17.10.37,16,6,1689362934,Boulder,events,8021x_eap_success,'1','4','80:65:7c:f1:fe:74','0.0.0.0',,mdyson,'1612768104'
43052c98-ccc2-4a49-889b-6739b8a405c2,7/14/2023,19:48:08,172.17.10.34,16,6,1689364088,Boulder,events,8021x_eap_success,'1','4','e4:fd:45:9e:e0:2b','0.0.0.0',,mmcnamara,'764143432'
9d085e75-8dae-4793-94f3-4d87a6c472c2,7/15/2023,0:07:22,172.17.10.40,16,6,1689379642,Boulder,events,8021x_eap_success,'1','4','80:65:7c:df:d3:f5','0.0.0.0',,kstephan,'741294313'
20a789c8-4928-4508-91f1-260733ff37b7,7/15/2023,0:07:35,172.17.10.40,16,6,1689379656,Boulder,events,8021x_eap_success,'1','4','00:d4:9e:34:5b:75','0.0.0.0',,alex.walmsley,'549668592'
782ded9a-9e5c-4c78-af6e-91eb0f8f6120,7/15/2023,0:13:33,172.17.10.41,16,6,1689380014,Boulder,events,8021x_eap_success,'1','4','14:7d:da:0b:bb:33','0.0.0.0',,hhouse,'105569965'
f1b12ab6-c673-4a12-8eb3-6b9e3c8a3ad0,7/15/2023,0:50:07,172.17.10.31,16,6,1689382208,Boulder,events,8021x_eap_success,'1','4','ba:8b:3c:d0:73:b2','172.16.11.102',,aschwartz,'686511087'
76240c9b-f2d7-4fe8-bef9-406e2de5f797,7/15/2023,20:44:38,172.17.30.35,16,6,1689453879,Basalt,events,8021x_eap_success,'1','0','20:78:f0:42:97:ae','0.0.0.0',,eyoung,'205610443'
c8bed4ed-6385-4a2c-8641-77534aa95d0c,7/16/2023,0:03:31,172.17.30.35,16,6,1689465811,Basalt,events,8021x_eap_success,'1','0','20:78:f0:42:97:ae','172.16.30.155',,eyoung,'593706259'
cbf3504a-2357-44d3-8387-e38d894771d7,7/16/2023,13:04:59,172.17.30.37,16,6,1689512700,Basalt,events,8021x_eap_success,'1','0','ea:ff:aa:46:d1:79','0.0.0.0',,jamie.holmstrom,'1519505934'
bc9f3ebe-a634-4127-88cc-a3aa23781e30,7/16/2023,16:15:08,172.17.10.40,16,6,1689524109,Boulder,events,8021x_eap_success,'1','4','e4:fd:45:9e:e0:2b','0.0.0.0',,mmcnamara,'1281341104'
65b9a30c-0957-43ce-bea5-c82d97802f45,7/16/2023,16:26:27,172.17.30.30,16,6,1689524788,Basalt,events,8021x_eap_success,'1','0','36:cf:0b:cb:e0:5d','0.0.0.0',,kbrehm,'923205747'
354f575d-7078-40cd-b833-69649db0dfdf,7/16/2023,21:33:35,172.17.10.35,16,6,1689543216,Boulder,events,8021x_eap_success,'1','4','14:7d:da:0b:bb:33','0.0.0.0',,hhouse,'1515358944'
39a77a35-1b14-4713-a57b-a1b2eb6b9e65,7/17/2023,0:03:58,172.17.30.35,16,6,1689552239,Basalt,events,8021x_eap_success,'1','0','20:78:f0:42:97:ae','172.16.30.155',,eyoung,'1835240476'
2a5eaa0a-48a0-4227-a59a-6e2447ec3fda,7/17/2023,5:57:16,172.17.10.35,16,6,1689573437,Boulder,events,8021x_eap_success,'1','4','14:7d:da:0b:bb:33','0.0.0.0',,hhouse,'227407222'
6e5e8a95-6607-4a7b-bedd-bc10ca832d1b,7/17/2023,14:06:06,172.17.10.32,16,6,1689602766,Boulder,events,8021x_eap_success,'1','4','f0:77:c3:b3:1d:ca','0.0.0.0',,remi.akinwonmi,'502401171'
faea15cf-5d09-4381-accb-9277aa30e2d8,7/17/2023,14:19:39,172.17.10.39,16,6,1689603580,Boulder,events,8021x_eap_success,'1','4','8c:f8:c5:9d:01:70',,,cnading,'1982005423'
c081d7b2-2ece-4a1f-9694-1c69f8747b3e,7/17/2023,14:19:59,172.17.10.31,16,6,1689603599,Boulder,events,8021x_eap_success,'1','4','a0:78:17:83:76:f8','0.0.0.0',,sflandrick,'50794656'
b4313a80-79c9-4255-b93b-5b87492e559d,7/17/2023,14:33:13,172.17.10.41,16,6,1689604394,Boulder,events,8021x_eap_success,'1','4','80:65:7c:dd:ab:02','0.0.0.0',,jcorvidae,'1103995411'
c8540d0c-4031-4272-861e-bc284766316e,7/17/2023,14:35:19,172.17.10.31,16,6,1689604519,Boulder,events,8021x_eap_success,'1','4','3c:06:30:42:22:50','0.0.0.0',,bbendix,'500591399'
fe010099-585a-4c4a-b33c-c326dc9e2a77,7/17/2023,14:37:14,172.17.30.30,16,6,1689604634,Basalt,events,8021x_eap_success,'1','0','7a:da:8a:5b:6b:21','0.0.0.0',,mabramczyk,'2039688968'
554457e6-f11b-4e08-a0ef-67519ea4a8ac,7/17/2023,14:41:21,172.17.10.36,16,6,1689604882,Boulder,events,8021x_eap_success,'1','4','58:6c:25:5b:1a:e4','0.0.0.0',,watkinson,'1253659922'
53372be1-e491-46d5-8c30-1a105c18eb28,7/17/2023,14:42:15,172.17.30.40,16,6,1689604935,Basalt,events,8021x_eap_success,'1','0','1c:91:80:ba:41:52','0.0.0.0',,lstone,'850544976'
30bbffa1-e8eb-4deb-a2a7-fa08b9ace18a,7/17/2023,14:44:49,172.17.10.32,16,6,1689605090,Boulder,events,8021x_eap_success,'1','4','1c:57:dc:6c:82:21','0.0.0.0',,cwayner,'131163299'
d77de4af-ab20-4a7b-b6c7-c258a0b24884,7/17/2023,14:54:58,172.17.10.38,16,6,1689605698,Boulder,events,8021x_eap_success,'1','4','3c:a6:f6:3e:e5:5f',,,kramirez,'1547788780'
551707a7-c05e-4ee0-b195-3679701eeb59,7/17/2023,15:05:51,172.17.10.36,16,6,1689606352,Boulder,events,8021x_eap_success,'1','4','02:be:3f:a5:8b:c7','0.0.0.0',,wjaglomkurtz,'1517862719'
78ee9aa6-2434-4f52-b72d-a5be517bee3a,7/17/2023,15:10:06,172.17.10.36,16,6,1689606606,Boulder,events,8021x_eap_success,'1','4','b0:be:83:7a:d6:ca','0.0.0.0',,lguccione,'1937162712'
9f9491a8-d60f-47b0-8e0c-d0992b9288a4,7/17/2023,15:10:57,172.17.10.37,16,6,1689606657,Boulder,events,8021x_eap_success,'1','4','ba:8b:3c:d0:73:b2','0.0.0.0',,aschwartz,'1940598242'
1d5f9bb4-fa90-4b52-91d1-511959fb5f22,7/17/2023,15:14:48,172.17.10.40,16,6,1689606888,Boulder,events,8021x_eap_success,'1','4','14:7d:da:bf:2f:66','0.0.0.0',,gwilson,'36936895'
0890c9fa-92da-401c-a3ca-c199201d2fd0,7/17/2023,15:19:11,172.17.30.38,16,6,1689607151,Basalt,events,8021x_eap_success,'1','0','1c:91:80:b9:bf:e7','0.0.0.0',,lforman,'1425772027'
6ea98f20-dc70-4473-915e-725135f1bedd,7/17/2023,15:20:43,172.17.10.40,16,6,1689607244,Boulder,events,8021x_eap_success,'1','4','3c:06:30:49:61:08','0.0.0.0',,tmatsuo,'1586098300'
64106fce-f277-411c-a8cd-2254b760576d,7/17/2023,15:31:26,172.17.10.38,16,6,1689607886,Boulder,events,8021x_eap_success,'1','4','80:65:7c:f1:fe:74',,,mdyson,'486196168'
